ticker,country,company_name,industry,sector,sub_industry,exchange,currency,market_cap_category,active,is_etf,yahoo_ticker,industry_keyword_1,industry_keyword_2,industry_keyword_3,ai_generated,ai_enhanced_at,competitor_1_name,competitor_1_ticker,competitor_2_name,competitor_2_ticker,competitor_3_name,competitor_3_ticker,upstream_1_name,upstream_1_ticker,upstream_2_name,upstream_2_ticker,downstream_1_name,downstream_1_ticker,downstream_2_name,downstream_2_ticker,geographic_markets,subsidiaries,financial_last_price,financial_price_change_pct,financial_yesterday_return_pct,financial_ytd_return_pct,financial_market_cap,financial_enterprise_value,financial_volume,financial_avg_volume,financial_analyst_target,financial_analyst_range_low,financial_analyst_range_high,financial_analyst_count,financial_analyst_recommendation,financial_snapshot_date,created_at,updated_at,data_source
ERNA,CA,Ernexa Therapeutics Inc.,Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ERNA,biotech funding environment,FDA drug approvals,M&A activity biotech,TRUE,2025-11-10T05:55:40.345736,,,,,,,IQVIA Holdings Inc.,IQV,Laboratory Corporation of America Holdings,LH,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
ERO,CA,Ero Copper Corp.,Metals & Mining,Materials,Copper,,,,FALSE,FALSE,ERO,copper price,China construction,copper supply,TRUE,2025-11-10T05:55:40.345742,Hudbay Minerals Inc.,HBM,Capstone Copper Corp.,CS.TO,Taseko Mines Limited,TKO,,,,,Glencore plc,GLEN.L,,,Brazil (major),Mineração Caraíba S/A,,,,,,,,,,,,,,,,,csv_import
ERO.TO,CA,Ero Copper Corp.,Metals & Mining,Materials,Copper,,,,FALSE,FALSE,ERO.TO,copper price,China construction,copper supply,TRUE,2025-11-10T05:55:40.345746,Hudbay Minerals Inc.,HBM.TO,Capstone Copper Corp.,CS.TO,Taseko Mines Limited,TKO.TO,,,,,Glencore plc,GLEN.L,,,Brazil (major),Mineração Caraíba S/A,,,,,,,,,,,,,,,,,csv_import
ES,CA,Eversource Energy,Multi-Utilities,Utilities,Multi-Utilities,,,,FALSE,FALSE,ES,electricity demand,natural gas prices,utility rate cases,TRUE,2025-11-10T05:55:40.345750,"Consolidated Edison, Inc.",ED,National Grid plc,NGG,"Avangrid, Inc.",AGR,,,,,,,,,United States - Northeast (major),"NSTAR Electric, The Connecticut Light and Power Company, Public Service Company of New Hampshire",,,,,,,,,,,,,,,,,csv_import
ESAB,CA,ESAB Corporation,Machinery,Industrials,Industrial Machinery & Supplies & Components,,,,FALSE,FALSE,ESAB,industrial production,steel prices,infrastructure spending,TRUE,2025-11-10T05:56:29.304866,"Lincoln Electric Holdings, Inc.",LECO,Illinois Tool Works Inc.,ITW,,,Nucor Corporation,NUE,Cleveland-Cliffs Inc.,CLF,,,,,"North America (major), Europe (major), Asia-Pacific (major)",,,,,,,,,,,,,,,,,,csv_import
ESBA,CA,"Empire State Realty OP, L.P.",Equity Real Estate Investment Trusts (REITs),Real Estate,Office REITs,,,,FALSE,FALSE,ESBA,NYC Office Vacancy Rates,Office Leasing Volume,interest rates,TRUE,2025-11-10T05:56:29.304880,SL Green Realty Corp.,SLG,Vornado Realty Trust,VNO,"Boston Properties, Inc.",BXP,,,,,,,,,United States - New York City (major),Empire State Building Observatory,,,,,,,,,,,,,,,,,csv_import
ESCA,CA,"Escalade, Incorporated",Leisure Products,Consumer Discretionary,Leisure Products,,,,FALSE,FALSE,ESCA,Consumer Discretionary Spending,Sporting Goods Sales,container shipping rates,TRUE,2025-11-10T05:56:29.304886,Johnson Outdoors Inc.,JOUT,Acushnet Holdings Corp.,GOLF,"YETI Holdings, Inc.",YETI,,,,,"Dick's Sporting Goods, Inc.",DKS,Walmart Inc.,WMT,"North America (major), Europe (minor)",,,,,,,,,,,,,,,,,,csv_import
ESE,CA,ESCO Technologies Inc.,Electrical Equipment,Industrials,Electrical Components & Equipment,,,,FALSE,FALSE,ESE,defense spending,electricity demand,aircraft orders,TRUE,2025-11-10T05:56:29.304890,HEICO Corporation,HEI,"Itron, Inc.",ITRI,"AMETEK, Inc.",AME,,,,,Lockheed Martin Corporation,LMT,The Boeing Company,BA,"North America (major), Europe (major), Global (minor)","Doble Engineering Company, VACCO Industries, PTI Technologies",,,,,,,,,,,,,,,,,csv_import
ESEA,CA,Euroseas Ltd.,Marine,Industrials,Marine,,,,FALSE,FALSE,ESEA,container shipping rates,global trade volume,port congestion,TRUE,2025-11-10T05:56:29.304894,Danaos Corporation,DAC,"Global Ship Lease, Inc.",GSL,Costamare Inc.,CMRE,HD Hyundai Heavy Industries Co Ltd,009540.KS,,,A.P. Møller - Mærsk A/S,AMKBY,Hapag-Lloyd AG,HLAG.DE,Global operations,,,,,,,,,,,,,,,,,,csv_import
ESGL,CA,ESGL Holdings Limited,Waste Management,Industrials,Environmental & Facilities Services,,,,FALSE,FALSE,ESGL,Industrial Production,Recycled Material Prices,Waste Management Regulations,TRUE,2025-11-10T05:57:11.240940,,,,,,,,,,,,,,,"Singapore (major), Malaysia (major)",Eng Seng Group Pte. Ltd.,,,,,,,,,,,,,,,,,csv_import
ESHA,CA,ESH Acquisition Corp.,Shell Companies,Financials,Capital Markets,,,,FALSE,FALSE,ESHA,SPAC Market Sentiment,Merger And Acquisition Activity,Interest Rates,TRUE,2025-11-10T05:57:11.240955,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
ESI,CA,Element Solutions Inc,Specialty Chemicals,Materials,Specialty Chemicals,,,,FALSE,FALSE,ESI,Semiconductor Demand,Automotive Production,Chemical Input Costs,TRUE,2025-11-10T05:57:11.240962,"DuPont de Nemours, Inc.",DD,FMC Corporation,FMC,Ashland Inc.,ASH,,,,,Taiwan Semiconductor Manufacturing Company Limited,TSM,Apple Inc.,AAPL,"Asia (major), Americas (major), Europe (major)","MacDermid Enthone Industrial Solutions, MacDermid Alpha Electronics Solutions",,,,,,,,,,,,,,,,,csv_import
ESI.TO,CA,Ensign Energy Services Inc.,Oil & Gas Drilling,Energy,Oil & Gas Drilling,,,,FALSE,FALSE,ESI.TO,Active Rig Count,Oil And Gas Capex,oil price,TRUE,2025-11-10T05:57:11.240968,Precision Drilling Corporation,PD.TO,"Patterson-UTI Energy, Inc.",PTEN,"Helmerich & Payne, Inc.",HP,NOV Inc.,NOV,,,Canadian Natural Resources Limited,CNQ.TO,Suncor Energy Inc.,SU.TO,"Canada (major), United States (major), International (minor)",Ensign Drilling,,,,,,,,,,,,,,,,,csv_import
ESLA,CA,"Estrella Immunopharma, Inc.",Biotechnology,Health Care,Biotechnology,,,,FALSE,FALSE,ESLA,CAR-T Therapy Development,Biotech Funding Environment,FDA Regulatory Policy,TRUE,2025-11-10T05:57:11.240973,Autolus Therapeutics plc,AUTL,"Poseida Therapeutics, Inc.",PSTX,"Arcellx, Inc.",ACLX,Lonza Group AG,LONN.SW,"Catalent, Inc.",CTLT,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
ESLT,CA,Elbit Systems Ltd.,Aerospace & Defense,Industrials,Aerospace & Defense,,,,FALSE,FALSE,ESLT,global defense spending,defense contract awards,UAV demand,TRUE,2025-11-10T05:58:07.142190,"L3Harris Technologies, Inc.",LHX,BAE Systems plc,BA.L,Thales S.A.,HO.PA,,,,,,,,,"Israel (major), North America (major), Europe (major), Asia-Pacific (major)","Elbit Systems of America, Elbit Systems UK, IMI Systems",,,,,,,,,,,,,,,,,csv_import
ESM.TO,CA,Euro Sun Mining Inc.,Metals & Mining,Materials,Gold,,,,FALSE,FALSE,ESM.TO,gold price,copper price,mining project financing,TRUE,2025-11-10T05:58:07.142207,Gabriel Resources Ltd.,GBU.V,Dundee Precious Metals Inc.,DPM.TO,,,,,,,,,,,Romania (major),,,,,,,,,,,,,,,,,,csv_import
ESNT,CA,Essent Group Ltd.,Insurance,Financials,Property & Casualty Insurance,,,,FALSE,FALSE,ESNT,mortgage origination volume,mortgage delinquency rates,housing prices,TRUE,2025-11-10T05:58:07.142217,MGIC Investment Corp.,MTG,Radian Group Inc.,RDN,"NMI Holdings, Inc.",NMIH,"Everest Group, Ltd.",EG,,,"Rocket Companies, Inc.",RKT,UWM Holdings Corporation,UWMC,United States (major),"Essent Guaranty, Inc.",,,,,,,,,,,,,,,,,csv_import
ESOA,CA,Energy Services of America Corporation,Construction & Engineering,Industrials,Construction & Engineering,,,,FALSE,FALSE,ESOA,pipeline construction spending,natural gas prices,infrastructure spending,TRUE,2025-11-10T05:58:07.142225,"Quanta Services, Inc.",PWR,"MasTec, Inc.",MTZ,Primoris Services Corporation,PRIM,Caterpillar Inc.,CAT,"United Rentals, Inc.",URI,EQT Corporation,EQT,"Dominion Energy, Inc.",D,"United States - Mid-Atlantic (major), United States - Southeast (major)","C.J. Hughes Construction Company, Inc.",,,,,,,,,,,,,,,,,csv_import
ESP,CA,Espey Mfg. & Electronics Corp.,Electrical Equipment,Industrials,Electrical Components & Equipment,,,,FALSE,FALSE,ESP,defense procurement spending,industrial capital spending,electronic component prices,TRUE,2025-11-10T05:58:07.142233,Bel Fuse Inc.,BELFB,"Vishay Intertechnology, Inc.",VSH,,,"Arrow Electronics, Inc.",ARW,,,Lockheed Martin Corporation,LMT,Northrop Grumman Corporation,NOC,United States (major),,,,,,,,,,,,,,,,,,csv_import
ESPR,CA,"Esperion Therapeutics, Inc.",Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ESPR,Prescription Volumes,Drug Pricing Policy,Statin Market Competition,TRUE,2025-11-10T05:58:49.928361,Amgen Inc.,AMGN,"Regeneron Pharmaceuticals, Inc.",REGN,"Merck & Co., Inc.",MRK,,,,,CVS Health Corporation,CVS,The Cigna Group,CI,"United States (major), Europe (major)",,,,,,,,,,,,,,,,,,csv_import
ESQ,CA,"Esquire Financial Holdings, Inc.",Banks—Regional,Financial Services,Regional Banks,,,,FALSE,FALSE,ESQ,interest rates,Commercial Loan Demand,Litigation Finance Trends,TRUE,2025-11-10T05:58:49.928378,"New York Community Bancorp, Inc.",NYCB,Valley National Bancorp,VLY,"Customers Bancorp, Inc.",CUBI,,,,,,,,,United States - Northeast (major),"Esquire Bank, National Association",,,,,,,,,,,,,,,,,csv_import
ESRT,CA,"Empire State Realty Trust, Inc.",REIT—Office,Real Estate,Office REITs,,,,FALSE,FALSE,ESRT,Office Occupancy Rates,Commercial Real Estate Prices,NYC Tourism,TRUE,2025-11-10T05:58:49.928386,SL Green Realty Corp.,SLG,Vornado Realty Trust,VNO,"Boston Properties, Inc.",BXP,,,,,,,,,United States - New York City (major),ESRT Observatory,,,,,,,,,,,,,,,,,csv_import
ESS,CA,"Essex Property Trust, Inc.",REIT—Residential,Real Estate,Residential REITs,,,,FALSE,FALSE,ESS,Apartment Rental Rates,Housing Affordability,West Coast Job Growth,TRUE,2025-11-10T05:58:49.928394,"AvalonBay Communities, Inc.",AVB,Equity Residential,EQR,"UDR, Inc.",UDR,,,,,,,,,United States - West Coast (major),,,,,,,,,,,,,,,,,,csv_import
ESTA,CA,Establishment Labs Holdings Inc.,Medical Devices,Healthcare,Medical Devices,,,,FALSE,FALSE,ESTA,Cosmetic Surgery Demand,Medical Device Regulation,Consumer Discretionary Spending,TRUE,2025-11-10T05:58:49.928400,AbbVie Inc.,ABBV,Johnson & Johnson,JNJ,InMode Ltd.,INMD,,,,,,,,,"Europe (major), Latin America (major), Asia Pacific (major)",,,,,,,,,,,,,,,,,,csv_import
ESTC,CA,Elastic N.V.,Software,Information Technology,Application Software,,,,FALSE,FALSE,ESTC,Enterprise Software Spending,Cloud Infrastructure Spending,Cybersecurity Spending,TRUE,2025-11-10T05:59:42.479176,"Datadog, Inc.",DDOG,"MongoDB, Inc.",MDB,Snowflake Inc.,SNOW,"Amazon.com, Inc.",AMZN,Microsoft Corporation,MSFT,,,,,"United States (major), Europe (major), Asia-Pacific (minor)",,,,,,,,,,,,,,,,,,csv_import
ET,CA,Energy Transfer LP,"Oil, Gas & Consumable Fuels",Energy,Oil & Gas Storage & Transportation,,,,FALSE,FALSE,ET,Natural Gas Production,Crude Oil Production,NGL Prices,TRUE,2025-11-10T05:59:42.479191,"Kinder Morgan, Inc.",KMI,Enterprise Products Partners L.P.,EPD,"The Williams Companies, Inc.",WMB,Exxon Mobil Corporation,XOM,Chevron Corporation,CVX,Valero Energy Corporation,VLO,Dow Inc.,DOW,United States (major),"Sunoco LP, USA Compression Partners, LP",,,,,,,,,,,,,,,,,csv_import
ETD,CA,Ethan Allen Interiors Inc.,Retailing,Consumer Discretionary,Homefurnishing Retail,,,,FALSE,FALSE,ETD,Housing Market Activity,Consumer Confidence,lumber prices,TRUE,2025-11-10T05:59:42.479196,La-Z-Boy Incorporated,LZB,RH,RH,"Williams-Sonoma, Inc.",WSM,,,,,,,,,"United States (major), Canada (minor), International (minor)",,,,,,,,,,,,,,,,,,csv_import
ETG.TO,CA,Entrée Resources Ltd.,Metals & Mining,Materials,Diversified Metals & Mining,,,,FALSE,FALSE,ETG.TO,copper price,gold price,copper supply,TRUE,2025-11-10T05:59:42.479201,Ivanhoe Mines Ltd.,IVN.TO,Filo Corp.,FIL.TO,Sandfire Resources Ltd,SFR.AX,Rio Tinto Group,RIO,,,,,,,Mongolia (major),,,,,,,,,,,,,,,,,,csv_import
ETHM,CA,Dynamix Corporation,Financial Conglomerates,Financials,Financial Conglomerates,,,,FALSE,FALSE,ETHM,Interest Rates,Asset Management Flows,Insurance Premiums,TRUE,2025-11-11T04:16:32.897005,Berkshire Hathaway Inc.,BRK-B,JPMorgan Chase & Co.,JPM,Bank of America Corporation,BAC,S&P Global Inc.,SPGI,"Fiserv, Inc.",FI,,,,,"United States (major), Europe (major), Asia (minor)","Dynamix Bank, Dynamix Asset Management, Dynamix Insurance",,,,,,,,,,,,,,,,,csv_import
ETHZ,CA,ETHZilla Corporation,Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ETHZ,Biotech Sector Funding,Drug Pricing Policy,Patent Expiration,TRUE,2025-11-11T04:16:32.897027,Amgen Inc.,AMGN,"Gilead Sciences, Inc.",GILD,Vertex Pharmaceuticals Incorporated,VRTX,IQVIA Holdings Inc.,IQV,Thermo Fisher Scientific Inc.,TMO,McKesson Corporation,MCK,The Cigna Group,CI,"United States (major), Europe (major), Japan (minor)",,,,,,,,,,,,,,,,,,csv_import
ETN,CA,Eaton Corporation plc,Electrical Equipment,Industrials,Electrical Components & Equipment,,,,FALSE,FALSE,ETN,Electrical Grid Spending,Industrial Production,Aircraft Build Rates,TRUE,2025-11-10T06:00:22.667980,Schneider Electric S.E.,SBGSY,ABB Ltd,ABBNY,Emerson Electric Co.,EMR,,,,,,,,,"North America (major), Europe (major), Asia-Pacific (minor)","Electrical Americas, Electrical Global, Aerospace, Vehicle, eMobility",,,,,,,,,,,,,,,,,csv_import
ETNB,CA,"89bio, Inc.",Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,ETNB,MASH Treatment Market,Biotech M&A Activity,FDA Drug Approval Rates,TRUE,2025-11-10T06:00:22.667985,"Madrigal Pharmaceuticals, Inc.",MDGL,"Akero Therapeutics, Inc.",AKRO,"Viking Therapeutics, Inc.",VKT,,,,,,,,,"United States (major), Europe (minor)",,,,,,,,,,,,,,,,,,csv_import
E.TO,CA,"Enterprise Group, Inc.",Energy Equipment & Services,Energy,Oil & Gas Equipment & Services,,,,FALSE,FALSE,E.TO,WCS oil price,Canadian drilling activity,natural gas prices,TRUE,2025-11-10T06:00:22.667991,STEP Energy Services Ltd.,STEP.TO,Total Energy Services Inc.,TOT.TO,Source Energy Services Ltd.,SHLE.TO,,,,,Canadian Natural Resources Limited,CNQ.TO,Suncor Energy Inc.,SU.TO,Canada - Western (major),"Artic Therm International Ltd., Hart Oilfield Rentals Ltd., Westar Oilfield Rentals Inc.",,,,,,,,,,,,,,,,,csv_import
ETON,CA,"Eton Pharmaceuticals, Inc.",Pharmaceuticals,Healthcare,Pharmaceuticals,,,,FALSE,FALSE,ETON,Orphan Drug Pricing,Rare Disease Drug Sales,FDA Regulatory Policy,TRUE,2025-11-10T06:00:22.667996,"Catalyst Pharmaceuticals, Inc.",CPRX,"Harmony Biosciences Holdings, Inc.",HRMY,,,,,,,"Cencora, Inc.",COR,"Cardinal Health, Inc.",CAH,United States (major),,,,,,,,,,,,,,,,,,csv_import
ETOR,CA,eToro Group Ltd.,Capital Markets,Financials,Investment Banking & Brokerage,,,,FALSE,FALSE,ETOR,retail trading volumes,cryptocurrency trading,financial market volatility,TRUE,2025-11-10T06:01:07.876087,"Robinhood Markets, Inc.",HOOD,IG Group Holdings plc,IGG.L,Plus500 Ltd.,PLUS.L,,,,,,,,,"Europe (major), United Kingdom (major), Australia (major), United States (minor)","eToro (Europe) Ltd., eToro (UK) Ltd., eToro AUS Capital Pty Ltd.",,,,,,,,,,,,,,,,,csv_import
ETR,CA,Entergy Corporation,Electric Utilities,Utilities,Electric Utilities,,,,FALSE,FALSE,ETR,electricity demand,natural gas prices,utility rate cases,TRUE,2025-11-10T06:01:07.876104,Southern Company,SO,Duke Energy Corporation,DUK,"NextEra Energy, Inc.",NEE,,,,,,,,,United States - Southeast (major),"Entergy Arkansas, Entergy Louisiana, Entergy Mississippi, Entergy Texas",,,,,,,,,,,,,,,,,csv_import
ETS,CA,Elite Express Holding Inc.,Integrated Freight & Logistics,Industrials,Trucking,,,,FALSE,FALSE,ETS,trucking spot rates,diesel fuel prices,freight demand,TRUE,2025-11-10T06:01:07.876109,"XPO, Inc.",XPO,"Saia, Inc.",SAIA,ArcBest Corporation,ARCB,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
ETSY,CA,"Etsy, Inc.",Internet & Direct Marketing Retail,Consumer Discretionary,Internet & Direct Marketing Retail,,,,FALSE,FALSE,ETSY,e-commerce sales,consumer discretionary spending,digital advertising rates,TRUE,2025-11-10T06:01:07.876115,"Amazon.com, Inc.",AMZN,eBay Inc.,EBAY,Shopify Inc.,SHOP,,,,,,,,,"United States (major), United Kingdom (major), Europe (major)","Reverb, Depop, Elo7",,,,,,,,,,,,,,,,,csv_import
ET.TO,CA,Evertz Technologies Limited,Communications Equipment,Information Technology,Communications Equipment,,,,FALSE,FALSE,ET.TO,Broadcast Media Spending,Live Sports Production,Streaming Infrastructure Investment,TRUE,2025-11-10T06:01:07.876121,Belden Inc.,BDC,Harmonic Inc.,HLIT,,,"Advanced Micro Devices, Inc.",AMD,,,Comcast Corporation,CMCSA,The Walt Disney Company,DIS,"North America (major), Europe (major), Asia-Pacific (minor)",,,,,,,,,,,,,,,,,,csv_import
EU,CA,enCore Energy Corp.,"Oil, Gas & Consumable Fuels",Energy,Uranium,,,,FALSE,FALSE,EU,uranium price,nuclear power demand,uranium supply,TRUE,2025-11-10T06:01:59.327151,Uranium Energy Corp,UEC,Energy Fuels Inc.,UUUU,Cameco Corporation,CCJ,,,,,Constellation Energy Corporation,CEG,Duke Energy Corporation,DUK,"United States - Texas (major), United States - Wyoming (major), United States - South Dakota (minor)",,,,,,,,,,,,,,,,,,csv_import
EUDA,CA,EUDA Health Holdings Limited,Real Estate Management & Development,Real Estate,Real Estate Operating Companies,,,,FALSE,FALSE,EUDA,Corporate Healthcare Spending,Telemedicine Adoption,Healthcare IT Spending,TRUE,2025-11-10T06:01:59.327164,,,,,,,,,,,,,,,"Singapore (major), Malaysia (major), Southeast Asia (minor)",,,,,,,,,,,,,,,,,,csv_import
EURK,CA,Eureka Acquisition Corp,Capital Markets,Financials,Asset Management & Custody Banks,,,,FALSE,FALSE,EURK,SPAC Merger Activity,IPO Market Conditions,De-SPAC Performance,TRUE,2025-11-10T06:01:59.327169,,,,,,,,,,,,,,,Global operations,,,,,,,,,,,,,,,,,,csv_import
EVAC,CA,EQV Ventures Acquisition Corp. II,Capital Markets,Financials,Asset Management & Custody Banks,,,,FALSE,FALSE,EVAC,SPAC Merger Activity,IPO Market Conditions,De-SPAC Performance,TRUE,2025-11-10T06:01:59.327173,,,,,,,,,,,,,,,Global operations,,,,,,,,,,,,,,,,,,csv_import
EVAX,CA,Evaxion A/S,Biotechnology,Health Care,Biotechnology,,,,FALSE,FALSE,EVAX,Biotech Funding,Pharmaceutical M&A,Drug Pricing Policy,TRUE,2025-11-10T06:01:59.327179,BioNTech SE,BNTX,"Moderna, Inc.",MRNA,"Gritstone bio, Inc.",GRTS,IQVIA Holdings Inc.,IQV,"Catalent, Inc.",CTLT,,,,,"Denmark (major), Europe (major), United States (major)",,,,,,,,,,,,,,,,,,csv_import
EVC,CA,Entravision Communications Corporation,Media,Communication Services,Advertising,,,,FALSE,FALSE,EVC,digital advertising spending,broadcast advertising rates,emerging market ad growth,TRUE,2025-11-10T06:03:07.312597,Perion Network Ltd.,PERI,"Digital Turbine, Inc.",APPS,"Magnite, Inc.",MGNI,,,,,,,,,"United States (major), Latin America (major), Europe (minor)","Cisneros Interactive, Smadex, MediaDonuts",,,,,,,,,,,,,,,,,csv_import
EVCM,CA,EverCommerce Inc.,Software & Services,Information Technology,Application Software,,,,FALSE,FALSE,EVCM,SMB IT spending,Vertical SaaS Adoption,digital payment volumes,TRUE,2025-11-10T06:03:07.312610,Lightspeed Commerce Inc.,LSPD,"Bill Holdings, Inc.",BILL,"AppFolio, Inc.",APPF,"Amazon.com, Inc.",AMZN,Microsoft Corporation,MSFT,,,,,"United States (major), Canada (minor), Europe (minor)","EverHealth, EverPro, EverService",,,,,,,,,,,,,,,,,csv_import
EVER,CA,"EverQuote, Inc.",Interactive Media & Services,Communication Services,Interactive Media & Services,,,,FALSE,FALSE,EVER,insurance carrier marketing budgets,auto insurance premiums,digital advertising spending,TRUE,2025-11-10T06:03:07.312616,"SelectQuote, Inc.",SLQT,"LendingTree, Inc.",TREE,"Goosehead Insurance, Inc",GSHD,Alphabet Inc.,GOOGL,,,The Progressive Corporation,PGR,The Allstate Corporation,ALL,United States (major),Crosspointe Insurance Agency,,,,,,,,,,,,,,,,,csv_import
EVEX,CA,"Eve Holding, Inc.",Capital Goods,Industrials,Aerospace & Defense,,,,FALSE,FALSE,EVEX,eVTOL regulatory approval,battery technology development,urban air mobility investment,TRUE,2025-11-10T06:03:07.312621,"Joby Aviation, Inc.",JOBY,Archer Aviation Inc.,ACHR,Vertical Aerospace Ltd.,EVTL,Embraer S.A.,ERJ,,,Azul S.A.,AZUL,"United Airlines Holdings, Inc.",UAL,Global operations,"Eve UAM, LLC",,,,,,,,,,,,,,,,,csv_import
EVGN,CA,Evogene Ltd.,"Pharmaceuticals, Biotechnology & Life Sciences",Healthcare,Biotechnology,,,,FALSE,FALSE,EVGN,biotech R&D funding,ag-tech investment,microbiome therapeutic development,TRUE,2025-11-10T06:03:07.312626,"Schrödinger, Inc.",SDGR,"Recursion Pharmaceuticals, Inc.",RXRX,"Benson Hill, Inc.",BHIL,"Amazon.com, Inc.",AMZN,NVIDIA Corporation,NVDA,Bayer AG,BAYRY,"Corteva, Inc.",CTVA,"Israel (major), United States (major), Global (minor)","Biomica Ltd., Lavie Bio Ltd., AgPlenus Ltd.",,,,,,,,,,,,,,,,,csv_import
EVGO,CA,"EVgo, Inc.",Specialty Retail,Consumer Discretionary,Automotive Retail,,,,FALSE,FALSE,EVGO,EV adoption,electricity prices,charging network utilization,TRUE,2025-11-10T06:04:02.886731,"ChargePoint Holdings, Inc.",CHPT,Blink Charging Co.,BLNK,"Tesla, Inc.",TSLA,ABB Ltd,ABB,,,General Motors Company,GM,"Uber Technologies, Inc.",UBER,United States (major),"Recargo, Inc.",,,,,,,,,,,,,,,,,csv_import
EVH,CA,"Evolent Health, Inc.",Health Information Services,Healthcare,Health Care Technology,,,,FALSE,FALSE,EVH,value-based care adoption,specialty drug costs,health insurance enrollment,TRUE,2025-11-10T06:04:02.886747,"agilon health, inc.",AGL,"Privia Health Group, Inc.",PRVA,"Cano Health, Inc.",CANO,,,,,Centene Corporation,CNC,"Molina Healthcare, Inc.",MOH,United States (major),"Evolent Health Services, Clinical Solutions, New Century Health",,,,,,,,,,,,,,,,,csv_import
EVI,CA,"EVI Industries, Inc.",Industrial Distribution,Industrials,Trading Companies & Distributors,,,,FALSE,FALSE,EVI,hospitality industry capex,healthcare facility spending,steel prices,TRUE,2025-11-10T06:04:02.886754,,,,,,,Whirlpool Corporation,WHR,,,,,,,"United States (major), Canada (minor)","Scott Equipment Company, Western State Design, Inc., Martin-Ray Laundry Systems, Inc.",,,,,,,,,,,,,,,,,csv_import
EVLV,CA,"Evolv Technologies Holdings, Inc.",Security & Protection Services,Industrials,Security & Alarm Services,,,,FALSE,FALSE,EVLV,public venue security spending,mass casualty event frequency,AI technology adoption,TRUE,2025-11-10T06:04:02.886761,Liberty Defense Holdings Ltd.,LBDHF,Patriot One Technologies Inc.,PAT.TO,,,NVIDIA Corporation,NVDA,,,"Live Nation Entertainment, Inc.",LYV,Six Flags Entertainment Corporation,SIX,"United States (major), Europe (minor), Asia-Pacific (minor)",,,,,,,,,,,,,,,,,,csv_import
EVO,CA,Evotec SE,Drug Manufacturers - Specialty & Generic,Healthcare,Biotechnology,,,,FALSE,FALSE,EVO,pharma R&D spending,biotech funding,drug discovery outsourcing,TRUE,2025-11-10T06:04:02.886769,"Charles River Laboratories International, Inc.",CRL,IQVIA Holdings Inc.,IQV,Thermo Fisher Scientific Inc.,TMO,Danaher Corporation,DHR,,,Bristol Myers Squibb Company,BMY,Bayer AG,BAYRY,"Europe (major), United States (major), Asia (minor)","Just - Evotec Biologics, Aptuit, Cyprotex",,,,,,,,,,,,,,,,,csv_import
EVOK,CA,"Evoke Pharma, Inc.",Drug Manufacturers - Specialty & Generic,Healthcare,Drug Manufacturers - Specialty & Generic,,,,FALSE,FALSE,EVOK,prescription volumes,drug pricing policy,FDA approvals,TRUE,2025-11-10T06:04:48.996371,Bausch Health Companies Inc.,BHC,"ANI Pharmaceuticals, Inc.",ANIP,Vanda Pharmaceuticals Inc.,VNDA,,,,,CVS Health Corporation,CVS,The Cigna Group,CI,United States (major),,,,,,,,,,,,,,,,,,csv_import
EVR,CA,Evercore Inc.,Capital Markets,Financials,Investment Banking & Brokerage,,,,FALSE,FALSE,EVR,M&A deal volume,equity market performance,corporate restructuring activity,TRUE,2025-11-10T06:04:48.996388,Lazard Ltd,LAZ,Moelis & Company,MC,PJT Partners Inc.,PJT,,,,,,,,,"United States (major), Europe (major), Asia (minor)","Evercore Group L.L.C., Evercore ISI",,,,,,,,,,,,,,,,,csv_import
EVRG,CA,"Evergy, Inc.",Utilities - Regulated Electric,Utilities,Electric Utilities,,,,FALSE,FALSE,EVRG,electricity demand,natural gas prices,utility rate cases,TRUE,2025-11-10T06:04:48.996396,Ameren Corporation,AEE,"WEC Energy Group, Inc.",WEC,Alliant Energy Corporation,LNT,Peabody Energy Corporation,BTU,"Kinder Morgan, Inc.",KMI,,,,,United States - Midwest (major),"Kansas City Power & Light Company, Westar Energy, Inc.",,,,,,,,,,,,,,,,,csv_import
EVTC,CA,"EVERTEC, Inc.",Software - Infrastructure,Technology,Data Processing & Outsourced Services,,,,FALSE,FALSE,EVTC,digital payment volume,consumer spending,financial technology adoption,TRUE,2025-11-10T06:04:48.996404,"Fiserv, Inc.",FI,Global Payments Inc.,GPN,StoneCo Ltd.,STNE,Microsoft Corporation,MSFT,,,"Popular, Inc.",BPOP,,,"Puerto Rico (major), Caribbean (major), Latin America (major)",,,,,,,,,,,,,,,,,,csv_import
